name,dob,country,nationalTeam,battingStyle,bowlingStyle
Gerry Hazlitt,04-09-1888,Australia,Australia,Right-hand bat,"Right-arm medium, Off-break"
Ghulam Abbas,01-05-1947,India,Pakistan,Left-hand bat,Slow left-arm
Ghulam Ahmed,04-07-1922,India,India,Right-hand bat,Off-break
Ghulam Ali,08-09-1966,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Ghulam Guard,12-12-1925,India,India,Left-hand bat,Left-arm fast-medium
Ghulam Parkar,25-10-1955,India,India,Right-hand bat,Right-arm medium
Giff Vivian,04-11-1912,New Zealand,New Zealand,Left-hand bat,Slow left-arm
Gihan Rupasinghe,05-03-1986,Sri Lanka,Sri Lanka,Left-hand bat,Leg-break
Gil Langley,14-09-1919,Australia,Australia,Right-hand bat,
Gilbert Jessop,19-05-1874,England,England,Right-hand bat,Right-arm fast
Gilbert Parkhouse,12-10-1925,Wales,England,Right-hand bat,Right-arm medium
Gladstone Small,18-10-1961,Barbados,England,Right-hand bat,Right-arm fast-medium
Glen Bruk-Jackson,25-04-1969,Zimbabwe,Zimbabwe,Right-hand bat,Off-break
Glen Chapple,23-01-1974,England,England,Right-hand bat,Right-arm medium-fast
Glen Hall,24-05-1938,South Africa,South Africa,Right-hand bat,Leg-break
Glen Sulzberger,14-03-1973,New Zealand,New Zealand,Left-hand bat,Off-break
Glendon Gibbs,27-12-1925,Guyana,West Indies,Left-hand bat,Slow left-arm
Glenn Bishop,25-02-1960,Australia,Australia,Right-hand bat,
Glenn Blakeney,22-01-1973,Bermuda,Bermuda,Left-hand bat,
Glenn Maxwell,14-10-1988,Australia,Australia,Right-hand bat,Off-break
Glenn McGrath,09-02-1970,Australia,Australia,Right-hand bat,Right-arm fast-medium
Glenn Rogers,12-04-1977,Australia,Scotland,Right-hand bat,Slow left-arm
Glenn Trimble,01-01-1963,Australia,Australia,Right-hand bat,Right-arm medium
Glenn Turner,26-05-1947,New Zealand,New Zealand,Right-hand bat,Off-break
Glenroy Sealy,11-06-1940,Barbados,Canada,Right-hand bat,Right-arm medium
Gobo Ashley,10-02-1862,South Africa,South Africa,Left-hand bat,Left-arm medium
Godfrey Cripps,19-10-1865,India,South Africa,Right-hand bat,Right-arm
Godfrey Evans,18-08-1920,England,England,Right-hand bat,Leg-break
Godfrey Lawrence,31-03-1932,Zimbabwe,South Africa,Right-hand bat,Right-arm fast-medium
Gogumal Kishenchand,14-04-1925,India,India,Right-hand bat,Leg-break
Golam Faruq,24-07-1962,Pakistan,Bangladesh,Right-hand bat,Right-arm fast-medium
Golam Nousher,06-10-1964,Pakistan,Bangladesh,Left-hand bat,Left-arm medium
Gopal Bose,20-05-1947,India,India,Right-hand bat,Off-break
Gopal Sharma,03-08-1960,India,India,Right-hand bat,Off-break
Gordon Drummond,21-04-1980,Scotland,Scotland,Right-hand bat,Right-arm medium
Gordon Goudie,12-08-1987,Scotland,Scotland,Right-hand bat,Right-arm medium-fast
Gordon Greenidge,01-05-1951,Barbados,West Indies,Right-hand bat,"Right-arm medium, Off-break"
Gordon Leggat,27-05-1926,New Zealand,New Zealand,Right-hand bat,
Gordon Rorke,27-06-1938,Australia,Australia,Left-hand bat,Right-arm fast
Gordon Rowe,30-06-1915,Scotland,New Zealand,Right-hand bat,
Gordon White,05-02-1882,South Africa,South Africa,Right-hand bat,Leg-break
Graeme Aldridge,15-11-1977,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Graeme Beard,19-08-1950,Australia,Australia,Right-hand bat,"Right-arm medium, Off-break"
Graeme Cremer,19-09-1986,Zimbabwe,Zimbabwe,Right-hand bat,Leg-break googly
Graeme Fowler,20-04-1957,England,England,Left-hand bat,Right-arm medium
Graeme Hick,23-05-1966,Zimbabwe,England,Right-hand bat,Off-break
Graeme Hole,06-01-1931,Australia,Australia,Right-hand bat,Off-break
Graeme Labrooy,07-06-1964,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm fast-medium
Graeme Pollock,27-02-1944,South Africa,South Africa,Left-hand bat,Leg-break
Graeme Porter,18-03-1955,Australia,Australia,Right-hand bat,Right-arm medium
Graeme Smith,01-02-1981,South Africa,South Africa,Left-hand bat,Off-break
Graeme Swann,24-03-1979,England,England,Right-hand bat,Off-break
Graeme Watson,08-03-1945,Australia,Australia,Right-hand bat,Right-arm medium
Graeme Wood,06-11-1956,Australia,Australia,Left-hand bat,Right-arm medium
Graham Barlow,26-03-1950,England,England,Left-hand bat,Right-arm medium
Graham Dilley,18-05-1959,England,England,Left-hand bat,Right-arm fast
Graham Dowling,04-03-1937,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Graham Gedye,02-05-1929,New Zealand,New Zealand,Right-hand bat,
Graham Gooch,23-07-1953,England,England,Right-hand bat,Right-arm medium
Graham Lloyd,01-07-1969,England,England,Right-hand bat,Right-arm medium
Graham Manou,23-04-1979,Australia,Australia,Right-hand bat,
Graham Onions,09-09-1982,England,England,Right-hand bat,Right-arm medium-fast
Graham Roope,12-07-1946,England,England,Right-hand bat,Right-arm medium
Graham Stevenson,16-12-1955,England,England,Right-hand bat,Right-arm medium
Graham Thorpe,01-08-1969,England,England,Left-hand bat,Right-arm medium
Graham Vivian,28-02-1946,New Zealand,New Zealand,Left-hand bat,Leg-break
Graham Yallop,07-10-1952,Australia,Australia,Left-hand bat,Left-arm medium
Grahame Bilby,07-05-1941,New Zealand,New Zealand,Right-hand bat,
Grahame Chevalier,09-03-1937,South Africa,South Africa,Right-hand bat,Slow left-arm
Grahame Corling,13-07-1941,Australia,Australia,Right-hand bat,Right-arm fast-medium
Grahame Thomas,21-03-1938,Australia,Australia,Right-hand bat,
Grant Bradburn,26-05-1966,New Zealand,New Zealand,Right-hand bat,Off-break
Grant Elliott,21-03-1979,South Africa,New Zealand,Right-hand bat,Right-arm fast-medium
Grant Flower,20-12-1970,Zimbabwe,Zimbabwe,Right-hand bat,Slow left-arm
Grant Paterson,09-06-1960,Zimbabwe,Zimbabwe,Right-hand bat,
Granville de Silva,12-03-1955,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm fast-medium
Grayson Shillingford,25-09-1944,Dominica,West Indies,Left-hand bat,Right-arm fast-medium
Greg Blewett,28-10-1971,Australia,Australia,Right-hand bat,Right-arm medium
Greg Campbell,10-03-1964,Australia,Australia,Right-hand bat,Right-arm fast-medium
Greg Chappell,07-08-1948,Australia,Australia,Right-hand bat,"Leg-break, Right-arm medium"
Greg Dyer,16-03-1959,Australia,Australia,Right-hand bat,
Greg Lamb,04-03-1980,Zimbabwe,Zimbabwe,Right-hand bat,"Right-arm medium, Off-break"
Greg Loveridge,15-01-1975,New Zealand,New Zealand,Right-hand bat,Leg-break
Greg Matthews,15-12-1959,Australia,Australia,Left-hand bat,Off-break
Greg Ritchie,23-01-1960,Australia,Australia,Right-hand bat,Right-arm medium
Greg Thomas,12-08-1960,Wales,England,Right-hand bat,Right-arm fast
Greg Thompson,17-09-1987,Ireland,Ireland,Right-hand bat,Leg-break
Gregor MacGregor,31-08-1869,Scotland,England,Right-hand bat,
Gregor Maiden,22-07-1979,Scotland,Scotland,Right-hand bat,Off-break
Gregory Strydom,26-03-1984,South Africa,Zimbabwe,Right-hand bat,Right-arm medium
Greig Williamson,20-12-1968,Scotland,Scotland,Right-hand bat,Right-arm medium
Greville Stevens,07-01-1901,England,England,Right-hand bat,Leg-break
Gubby Allen,31-07-1902,Australia,England,Right-hand bat,Right-arm fast
Gul Mohammad,15-10-1921,India,Pakistan,Left-hand bat,Left-arm medium
Gulabrai Ramchand,26-07-1927,India,India,Right-hand bat,Right-arm medium-fast
Gulam Bodi,04-01-1979,India,South Africa,Left-hand bat,Chinaman
Gulbadin Naib,16-03-1991,Pakistan,Afghanistan,Right-hand bat,Right-arm medium-fast
Gundappa Viswanath,12-02-1949,India,India,Right-hand bat,Leg-break
Gundibail Sunderam,29-03-1930,India,India,Right-hand bat,Right-arm fast-medium
Gurdeep Singh,19-01-1998,Kenya,Kenya,Left-hand bat,Leg-break
Gursharan Singh,08-03-1963,India,India,Right-hand bat,
Gus Kempis,04-08-1865,South Africa,South Africa,Right-hand bat,Left-arm medium
Gus Logie,28-09-1960,Trinidad and Tobago,West Indies,Right-hand bat,Off-break
Guy de Alwis,15-02-1959,Sri Lanka,Sri Lanka,Right-hand bat,
Guy Overton,08-06-1919,New Zealand,New Zealand,Left-hand bat,Right-arm fast
Guy Whittall,05-09-1972,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm medium
Gyanendra Malla,16-09-1990,Nepal,Nepal,Right-hand bat,
Gyanendra Pandey,12-08-1972,India,India,Left-hand bat,Slow left-arm
Haafiz Shahid,10-05-1963,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Habibul Bashar,17-08-1972,Bangladesh,Bangladesh,Right-hand bat,Off-break
Hamid Hassan,01-06-1987,Afghanistan,Afghanistan,Right-hand bat,Right-arm fast-medium
Hamilton Masakadza,09-08-1983,Zimbabwe,Zimbabwe,Right-hand bat,"Leg-break googly, Right-arm medium"
Hamish Anthony,16-01-1971,Antigua and barbuda,West Indies,Right-hand bat,Right-arm fast-medium
Hamish Bennett,22-02-1987,New Zealand,New Zealand,Left-hand bat,Right-arm medium-fast
Hamish Gardiner,04-01-1991,Australia,Scotland,Right-hand bat,
Hamish Marshall,15-02-1979,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Hamish Rutherford,27-04-1989,New Zealand,New Zealand,Left-hand bat,Slow left-arm
Hammad Azam,16-03-1991,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Hammond Furlonge,19-06-1934,Trinidad and Tobago,West Indies,Right-hand bat,
Hammy Love,10-08-1895,Australia,Australia,Right-hand bat,
Hamza Hotak,15-08-1991,Afghanistan,Afghanistan,Right-hand bat,Slow left-arm
Hamza Tariq,20-07-1990,Pakistan,Canada,Right-hand bat,
Hanif Mohammad,21-12-1934,India,Pakistan,Right-hand bat,Off-break
Haninder Dhillon,27-10-1976,India,Canada,Right-hand bat,Right-arm medium
Hannan Sarkar,01-12-1982,Bangladesh,Bangladesh,Right-hand bat,Right-arm medium
Hans Ebeling,01-01-1905,Australia,Australia,Right-hand bat,Right-arm fast-medium
Hansie Cronje,25-09-1969,South Africa,South Africa,Right-hand bat,Right-arm medium
Hanumant Singh,29-03-1939,India,India,Right-hand bat,Leg-break
Harbhajan Singh,03-07-1980,India,India,Right-hand bat,Off-break
Harilal Shah,14-04-1943,Kenya,,Right-hand bat,Right-arm medium
Haris Sohail,09-01-1989,Pakistan,Pakistan,Left-hand bat,Left-arm medium
Harold Baumgartner,17-11-1883,England,South Africa,Right-hand bat,Slow left-arm
Harold Butler,12-03-1913,England,England,Right-hand bat,Right-arm fast-medium
Harold Gilligan,29-06-1896,England,England,Right-hand bat,Leg-break
Harold Gimblett,19-10-1914,England,England,Right-hand bat,Right-arm medium
Harold Larwood,14-11-1904,England,England,Right-hand bat,Right-arm fast
Harold Rhodes,22-07-1936,England,England,Right-hand bat,Right-arm fast
Haroon Rasheed,25-03-1953,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Harry Alexander,09-06-1905,Australia,Australia,Right-hand bat,Right-arm fast
Harry Boyle,10-12-1847,Australia,Australia,Right-hand bat,Right-arm medium roundarm
Harry Bromfield,26-06-1932,South Africa,South Africa,Right-hand bat,Off-break
Harry Butt,27-12-1865,England,England,Right-hand bat,
Harry Cave,10-10-1922,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Harry Dean,13-08-1884,England,England,Left-hand bat,Left-arm fast-medium
Harry Donnan,12-11-1864,Australia,Australia,Right-hand bat,Right-arm medium
Harry Elliott,02-11-1891,England,England,Right-hand bat,
Harry Graham,22-11-1870,Australia,Australia,Right-hand bat,Leg-break
Harry Gurney,25-10-1986,England,England,Right-hand bat,Left-arm medium-fast
Harry Howell,29-11-1890,England,England,Right-hand bat,Right-arm fast
Harry Lee,26-10-1890,England,England,Right-hand bat,"Right-arm slow-medium, Off-break"
Harry Makepeace,22-08-1881,England,England,Right-hand bat,Leg-break
Harry Moses,13-02-1858,Australia,Australia,Left-hand bat,
Harry Musgrove,27-11-1858,England,Australia,Right-hand bat,
Harry Smith,21-05-1891,England,England,Right-hand bat,Right-arm slow
Harry Trott,05-08-1866,Australia,Australia,Right-hand bat,Leg-break
Harry Wood,14-12-1853,England,England,Right-hand bat,Right-arm fast roundarm
Harunur Rashid,30-11-1968,Pakistan,Bangladesh,Right-hand bat,Leg-break
Harvinder Singh,23-12-1977,India,India,Right-hand bat,Right-arm fast-medium
Harvir Baidwan,31-07-1987,India,Canada,Right-hand bat,Right-arm medium
Hasan Durham,14-08-1971,Bermuda,Bermuda,Right-hand bat,Slow left-arm
Hasan Jamil,25-07-1952,Pakistan,Pakistan,Left-hand bat,Left-arm medium-fast
Hasan Raza,11-03-1982,Pakistan,Pakistan,Right-hand bat,Off-break
Hasantha Fernando,14-10-1979,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm medium-fast
Haseeb Ahsan,15-07-1939,India,Pakistan,Right-hand bat,Off-break
Haseeb Amjad,11-11-1987,Pakistan,Hong Kong,Right-hand bat,Right-arm medium-fast
Hashan Tillakaratne,14-07-1967,Sri Lanka,Sri Lanka,Left-hand bat,Off-break
Hashim Amla,31-03-1983,South Africa,South Africa,Right-hand bat,Right-arm medium
Hashmatullah Sahidi,04-11-1994,Afghanistan,Afghanistan,Left-hand bat,Off-break
Hasibul Hossain,03-06-1977,Bangladesh,Bangladesh,Right-hand bat,Right-arm fast-medium
Hasti Gul,01-01-1984,Afghanistan,Afghanistan,Right-hand bat,Right-arm medium
Headley Keith,25-10-1927,South Africa,South Africa,Left-hand bat,Slow left-arm
Heath Davis,30-11-1971,New Zealand,New Zealand,Right-hand bat,Right-arm fast
Heath Streak,16-03-1974,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm fast-medium
Hedley Howarth,25-12-1943,New Zealand,New Zealand,Left-hand bat,Slow left-arm
Hedley Verity,18-05-1905,England,England,Right-hand bat,Slow left-arm
Heino Kuhn,01-04-1984,South Africa,South Africa,Right-hand bat,
Hemang Badani,14-11-1976,India,India,Left-hand bat,Slow left-arm
Hemant Kanitkar,08-12-1942,India,India,Right-hand bat,
Hemantha Boteju,03-11-1977,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm medium
Hemantha Wickramaratne,21-02-1971,Sri Lanka,Sri Lanka,Left-hand bat,Slow left-arm
Hemu Adhikari,31-07-1919,India,India,Right-hand bat,Leg-break
Hendrik-Jan Mol,29-03-1977,Netherlands,Netherlands,Left-hand bat,Left-arm medium
Hendy Bryan,17-03-1970,Barbados,West Indies,Right-hand bat,Right-arm fast-medium
Henry Charlwood,19-12-1846,England,England,Right-hand bat,Underarm
Henry Davids,19-01-1980,South Africa,South Africa,Right-hand bat,Right-arm medium-fast
Henry Foley,28-01-1906,New Zealand,New Zealand,Left-hand bat,
Henry Jupp,19-11-1841,England,England,Right-hand bat,Right-arm fast roundarm
Henry Olonga,03-07-1976,Zambia,Zimbabwe,Right-hand bat,Right-arm fast
Henry Osinde,17-10-1978,Uganda,Canada,Right-hand bat,Right-arm medium-fast
Henry Scott,26-12-1858,Australia,Australia,Right-hand bat,Right-arm medium-fast
Henry Taberer,07-10-1870,South Africa,South Africa,Right-hand bat,Right-arm fast
Henry Williams,11-06-1967,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Herb McGirr,05-11-1891,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Herbert Chang,02-07-1952,Jamaica,West Indies,Left-hand bat,Right-arm medium
Herbert Sutcliffe,24-11-1894,England,England,Right-hand bat,Right-arm medium
Herbie Collins,21-01-1888,Australia,Australia,Right-hand bat,Slow left-arm
Herbie Taylor,05-05-1889,South Africa,South Africa,Right-hand bat,Right-arm
Herby Wade,14-09-1905,South Africa,South Africa,Right-hand bat,
Herman Griffith,01-12-1893,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm fast
Herschelle Gibbs,23-02-1974,South Africa,South Africa,Right-hand bat,Leg-break
Hines Johnson,13-07-1910,Jamaica,West Indies,Right-hand bat,Right-arm fast
Hiral Patel,10-08-1991,India,Canada,Right-hand bat,Slow left-arm
Hiralal Gaekwad,29-08-1923,India,India,Left-hand bat,"Left-arm medium, Slow left-arm"
Hiren Varaiya,09-04-1984,India,Kenya,Right-hand bat,Slow left-arm
Hitesh Modi,13-10-1971,Kenya,Kenya,Left-hand bat,Off-break
Hopper Levett,25-01-1908,England,England,Right-hand bat,
Hopper Read,28-01-1910,England,England,Right-hand bat,Right-arm fast
Horace Chapman,30-06-1890,South Africa,South Africa,Right-hand bat,Leg-break googly
Howard Francis,26-05-1868,England,South Africa,Right-hand bat,
Howard Johnson,16-08-1964,Jamaica,United States of America,Right-hand bat,Right-arm medium-fast
Hrishikesh Kanitkar,14-11-1974,India,India,Left-hand bat,Off-break
Hubert Doggart,18-07-1925,England,England,Right-hand bat,Off-break
Hugh Bromley-Davenport,18-08-1870,England,England,Right-hand bat,Left-arm fast
Hugh Massie,11-04-1854,Australia,Australia,Right-hand bat,
Hugh Morris,05-10-1963,Wales,England,Left-hand bat,Right-arm medium
Hugh Tayfield,30-01-1929,South Africa,South Africa,Right-hand bat,Off-break
Hugh Trumble,12-05-1867,Australia,Australia,Right-hand bat,"Right-arm medium, Off-break"
Humayun Farhat,24-01-1981,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Hussain Butt,07-08-1976,Pakistan,Hong Kong,Right-hand bat,Right-arm fast-medium
Hylton Ackerman,14-02-1973,South Africa,South Africa,Right-hand bat,Right-arm medium
Hylton Philipson,08-06-1866,England,England,Right-hand bat,
Iain Butchart,09-05-1960,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm medium
Iain O'Brien,10-07-1976,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Iain Philip,09-06-1958,Scotland,Scotland,Right-hand bat,Slow left-arm
Iain Wardlaw,29-06-1985,England,Scotland,Right-hand bat,Right-arm medium-fast
Ian Allen,06-10-1965,St Vincent and the Grenadines,West Indies,Right-hand bat,Right-arm fast-medium
Ian Austin,30-05-1966,England,England,Left-hand bat,Right-arm medium
Ian Bell,11-04-1982,England,England,Right-hand bat,Right-arm medium
Ian Billcliff,26-10-1972,Canada,Canada,Right-hand bat,Right-arm medium
Ian Bishop,24-10-1967,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm fast
Ian Blackwell,10-06-1978,England,England,Left-hand bat,Slow left-arm
Ian Botham,24-11-1955,England,England,Right-hand bat,Right-arm fast-medium
Ian Bradshaw,09-07-1974,Barbados,West Indies,Left-hand bat,Left-arm fast-medium
Ian Butler,24-11-1981,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Ian Callen,02-05-1955,Australia,Australia,Left-hand bat,Right-arm fast-medium
Ian Chappell,26-09-1943,Australia,Australia,Right-hand bat,Leg-break
Ian Colquhoun,08-06-1924,New Zealand,New Zealand,Right-hand bat,
Ian Craig,12-06-1935,Australia,Australia,Right-hand bat,Right-arm slow
Ian Cromb,25-06-1905,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Ian Davis,25-06-1953,Australia,Australia,Right-hand bat,
Ian Gould,19-08-1957,England,England,Left-hand bat,
Ian Greig,08-12-1955,South Africa,England,Right-hand bat,Right-arm medium
Ian Harvey,10-04-1972,Australia,Australia,Right-hand bat,Right-arm medium
Ian Healy,30-04-1964,Australia,Australia,Right-hand bat,
Ian Johnson,08-12-1917,Australia,Australia,Right-hand bat,Off-break
Ian Leggat,07-06-1930,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Ian Meckiff,06-01-1935,Australia,Australia,Right-hand bat,Left-arm fast
Ian Nicolson,09-10-1986,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm fast-medium
Ian Peebles,20-01-1908,Scotland,England,Right-hand bat,Leg-break googly
Ian Redpath,11-05-1941,Australia,Australia,Right-hand bat,Right-arm medium
Ian Salisbury,21-01-1970,England,England,Right-hand bat,Leg-break googly
Ian Sinclair,01-06-1933,New Zealand,New Zealand,Left-hand bat,Off-break
Ian Smith,28-02-1957,New Zealand,New Zealand,Right-hand bat,Right-arm
